Date,Price,Open,High,Low,Vol.,Change %
2019-10-22,18.149,18.089,18.089,18.089,0.83K,-0.55%
2019-10-21,18.249,18.189,18.189,18.189,0.32K,3.73%
2019-10-20,17.593,17.57,17.605,17.565,-,-3.45%
2019-10-18,18.222,18.162,18.162,18.162,0.17K,-0.19%
2019-10-17,18.256,18.196,18.196,18.196,0.21K,1.06%
2019-10-16,18.065,18.005,18.005,18.005,0.80K,0.25%
2019-10-15,18.02,17.96,17.96,17.96,0.22K,-1.79%
2019-10-14,18.348,18.288,18.288,18.288,0.11K,4.77%
2019-10-13,17.512,17.535,17.595,17.497,-,-3.68%
2019-10-11,18.181,18.121,18.121,18.121,0.37K,-0.29%
2019-10-10,18.233,18.173,18.173,18.173,0.77K,-1.13%
2019-10-09,18.442,18.382,18.382,18.382,0.52K,0.61%
2019-10-08,18.331,18.271,18.271,18.271,0.46K,0.87%
2019-10-07,18.173,18.113,18.113,18.113,0.17K,3.17%
2019-10-06,17.615,17.598,17.688,17.58,-,-3.52%
2019-10-04,18.258,18.198,18.198,18.198,0.39K,-0.26%
2019-10-03,18.305,18.245,18.245,18.245,0.76K,-0.11%
2019-10-02,18.325,18.264,18.264,18.264,0.79K,2.12%
2019-10-01,17.944,17.883,17.883,17.883,1.23K,1.70%
2019-09-30,17.644,17.6,17.6,17.6,0.00K,0.38%
2019-09-29,17.578,17.595,17.657,17.555,-,-3.96%
2019-09-27,18.302,18.13,18.13,18.125,0.00K,-1.41%
2019-09-26,18.564,18.503,18.503,18.503,0.23K,-0.88%
2019-09-25,18.728,18.667,18.667,18.667,0.41K,-2.87%
2019-09-24,19.282,19.221,19.221,19.221,0.71K,-0.46%
2019-09-23,19.371,19.31,19.31,19.31,0.59K,7.34%
2019-09-22,18.047,18.052,18.058,18.012,-,-2.51%
2019-09-20,18.512,18.451,18.451,18.451,0.23K,-0.19%
2019-09-19,18.547,18.486,18.486,18.486,0.26K,-0.20%
2019-09-18,18.584,18.523,18.523,18.523,0.05K,-1.20%
2019-09-17,18.809,18.748,18.748,18.748,0.32K,0.59%
2019-09-16,18.699,18.638,18.638,18.638,0.15K,4.91%
2019-09-15,17.823,17.517,17.843,17.517,-,-2.22%
2019-09-13,18.228,18.184,18.184,18.184,1.33K,-3.14%
2019-09-12,18.818,18.774,18.774,18.774,0.78K,0.15%
2019-09-11,18.79,18.746,18.746,18.746,0.80K,-0.04%
2019-09-10,18.797,18.753,18.753,18.753,0.02K,0.13%
2019-09-09,18.772,18.728,18.728,18.728,0.62K,2.76%
2019-09-08,18.267,18.262,18.282,18.157,-,-2.44%
2019-09-06,18.724,18.676,18.676,18.676,0.09K,-3.59%
2019-09-05,19.422,19.368,19.368,19.368,0.27K,-3.62%
2019-09-04,20.152,20.08,20.08,20.08,0.00K,1.60%
2019-09-03,19.834,19.78,19.78,19.78,0.43K,7.26%
2019-09-02,18.492,18.562,18.652,18.367,-,-0.40%
2019-09-01,18.567,18.475,18.683,18.475,-,-1.92%
2019-08-30,18.931,18.877,18.877,18.877,0.66K,0.15%
2019-08-29,18.903,18.849,18.849,18.849,1.07K,-0.63%
2019-08-28,19.022,18.968,18.968,18.968,1.02K,0.86%
2019-08-27,18.86,18.806,18.806,18.806,1.22K,2.80%
